Item_Id,Item_Description,Unit_Indicator,Decimal_Indicator,US_Total,Source1,Source11
AGE140200D,Resident population 5 to 9 years (April 1 - complete count) 2000,ABS,0,20549505,CENSUSPOPEST,
AGE140210D,Resident population 5 to 9 years (April 1 - complete count) 2010,ABS,0,20348657,CENSUS-2010,
AGE150200D,Resident population 5 to 9 years (April 1 - estimates base) 2000,ABS,0,20549855,CENSUSPOPEST,
AGE160200D,Resident population 5 to 9 years (July 1 - estimate) 2000,ABS,0,20475855,CENSUSPOPEST,
AGE160201D,Resident population 5 to 9 years (July 1 - estimate) 2001,ABS,0,20237572,CENSUSPOPEST,
AGE160202D,Resident population 5 to 9 years (July 1 - estimate) 2002,ABS,0,19984727,CENSUSPOPEST,
AGE160203D,Resident population 5 to 9 years (July 1 - estimate) 2003,ABS,0,19778497,CENSUSPOPEST,
AGE160204D,Resident population 5 to 9 years (July 1 - estimate) 2004,ABS,0,19655077,CENSUSPOPEST,
AGE160205D,Resident population 5 to 9 years (July 1 - estimate) 2005,ABS,0,19632095,CENSUSPOPEST,
AGE160206D,Resident population 5 to 9 years (July 1 - estimate) 2006,ABS,0,19831119,CENSUSPOPEST,
AGE160207D,Resident population 5 to 9 years (July 1 - estimate) 2007,ABS,0,20054444,CENSUSPOPEST,
AGE160208D,Resident population 5 to 9 years (July 1 - estimate) 2008,ABS,0,20313416,CENSUSPOPEST,
AGE160209D,Resident population 5 to 9 years (July 1 - estimate) 2009,ABS,0,20609634,CENSUSPOPEST,
AGE170180D,Resident population 5 to 14 years (complete count) 1980,ABS,0,34942085,CENSUS-1980,
AGE170190D,Resident population 5 to 14 years (complete count) 1990,ABS,0,35213428,CENSUS-1990,
AGE170200D,Resident population 5 to 14 years (April 1 - complete count) 2000,ABS,0,41077577,CENSUS-2000,
AGE170210D,Resident population 5 to 14 years (April 1 - complete count) 2010,ABS,0,41025851,CENSUS-2010,
AGE180180D,Resident population 5 to 17 years (complete count) 1980,ABS,0,47406706,CENSUS-1980,
AGE180190D,Resident population 5 to 17 years (complete count) 1990,ABS,0,45249989,CENSUS-1990,
AGE180200D,Resident population 5 to 17 years (April 1 - complete count) 2000,ABS,0,53118014,CENSUS-2000,
AGE180210D,Resident population 5 to 17 years (April 1 - complete count) 2010,ABS,0,53980105,CENSUS-2010,
AGE210200D,Resident population 10 to 14 years (April 1 - complete count) 2000,ABS,0,20528072,CENSUSPOPEST,
AGE210210D,Resident population 10 to 14 years (April 1 - complete count) 2010,ABS,0,20677194,CENSUS-2010,
AGE220200D,Resident population 10 to 14 years (April 1 - estimates base) 2000,ABS,0,20528425,CENSUSPOPEST,
AGE230200D,Resident population 10 to 14 years (July 1 - estimate) 2000,ABS,0,20621112,CENSUSPOPEST,
AGE230201D,Resident population 10 to 14 years (July 1 - estimate) 2001,ABS,0,20898234,CENSUSPOPEST,
AGE230202D,Resident population 10 to 14 years (July 1 - estimate) 2002,ABS,0,21111618,CENSUSPOPEST,
AGE230203D,Resident population 10 to 14 years (July 1 - estimate) 2003,ABS,0,21192641,CENSUSPOPEST,
AGE230204D,Resident population 10 to 14 years (July 1 - estimate) 2004,ABS,0,21113264,CENSUSPOPEST,
AGE230205D,Resident population 10 to 14 years (July 1 - estimate) 2005,ABS,0,20837186,CENSUSPOPEST,
AGE230206D,Resident population 10 to 14 years (July 1 - estimate) 2006,ABS,0,20579051,CENSUSPOPEST,
AGE230207D,Resident population 10 to 14 years (July 1 - estimate) 2007,ABS,0,20318855,CENSUSPOPEST,
AGE230208D,Resident population 10 to 14 years (July 1 - estimate) 2008,ABS,0,20103526,CENSUSPOPEST,
AGE230209D,Resident population 10 to 14 years (July 1 - estimate) 2009,ABS,0,19973564,CENSUSPOPEST,
AGE240200D,Resident population 15 to 19 years (April 1 - complete count) 2000,ABS,0,20219890,CENSUSPOPEST,
AGE240210D,Resident population 15 to 19 years (April 1 - complete count) 2010,ABS,0,22040343,CENSUS-2010,
AGE250200D,Resident population 15 to 19 years (April 1 - estimates base) 2000,ABS,0,20218782,CENSUSPOPEST,
AGE260200D,Resident population 15 to 19 years (July 1 - estimate) 2000,ABS,0,20275488,CENSUSPOPEST,
AGE260201D,Resident population 15 to 19 years (July 1 - estimate) 2001,ABS,0,20369978,CENSUSPOPEST,
AGE260202D,Resident population 15 to 19 years (July 1 - estimate) 2002,ABS,0,20456230,CENSUSPOPEST,
AGE260203D,Resident population 15 to 19 years (July 1 - estimate) 2003,ABS,0,20574392,CENSUSPOPEST,
AGE260204D,Resident population 15 to 19 years (July 1 - estimate) 2004,ABS,0,20808179,CENSUSPOPEST,
AGE260205D,Resident population 15 to 19 years (July 1 - estimate) 2005,ABS,0,21119706,CENSUSPOPEST,
AGE260206D,Resident population 15 to 19 years (July 1 - estimate) 2006,ABS,0,21366836,CENSUSPOPEST,
AGE260207D,Resident population 15 to 19 years (July 1 - estimate) 2007,ABS,0,21562382,CENSUSPOPEST,
AGE260208D,Resident population 15 to 19 years (July 1 - estimate) 2008,ABS,0,21628099,CENSUSPOPEST,
AGE260209D,Resident population 15 to 19 years (July 1 - estimate) 2009,ABS,0,21537837,CENSUSPOPEST,
AGE270180D,Resident population under 18 years (April 1 - complete count) 1980,ABS,0,63754960,CENSUS-1980,
AGE270190D,Resident population under 18 years (April 1 - complete count) 1990,ABS,0,63604432,CENSUS-1990,
AGE270200D,Resident population under 18 years (April 1 - complete count) 2000,ABS,0,72293812,CENSUS-2000,
AGE270210D,Resident population under 18 years (April 1 - complete count) 2010,ABS,0,74181467,CENSUS-2010,
AGE275200D,"Resident population under 18 years, percent (April 1 - complete count) 2000",PCT,1,25.7,CENSUS-2000,
AGE275210D,"Resident population under 18 years, percent (April 1 - complete count) 2010",PCT,1,24,CENSUS-2010,
AGE280200D,Resident population under 18 years (April 1 - estimates base) 2000,ABS,0,72295030,CENSUSPOPEST,
AGE285200D,"Resident population under 18 years, percent (April 1 - estimates base) 2000",PCT,1,25.7,CENSUSPOPEST,
AGE290200D,Resident population under 18 years (July 1 - estimate) 2000,ABS,0,72385221,CENSUSPOPEST,
AGE290201D,Resident population under 18 years (July 1 - estimate) 2001,ABS,0,72736394,CENSUSPOPEST,
AGE290202D,Resident population under 18 years (July 1 - estimate) 2002,ABS,0,73049266,CENSUSPOPEST,
AGE290203D,Resident population under 18 years (July 1 - estimate) 2003,ABS,0,73258317,CENSUSPOPEST,
AGE290204D,Resident population under 18 years (July 1 - estimate) 2004,ABS,0,73492810,CENSUSPOPEST,
AGE290205D,Resident population under 18 years (July 1 - estimate) 2005,ABS,0,73749167,CENSUSPOPEST,
AGE290206D,Resident population under 18 years (July 1 - estimate) 2006,ABS,0,74010089,CENSUSPOPEST,
AGE290207D,Resident population under 18 years (July 1 - estimate) 2007,ABS,0,74340127,CENSUSPOPEST,
AGE290208D,Resident population under 18 years (July 1 - estimate) 2008,ABS,0,74429709,CENSUSPOPEST,
AGE290209D,Resident population under 18 years (July 1 - estimate) 2009,ABS,0,74548215,CENSUSPOPEST,
AGE295200D,"Resident population under 18 years, percent (July 1 - estimate) 2000",PCT,1,25.7,CENSUSPOPEST,
AGE295201D,"Resident population under 18 years, percent (July 1 - estimate) 2001",PCT,1,25.5,CENSUSPOPEST,
AGE295202D,"Resident population under 18 years, percent (July 1 - estimate) 2002",PCT,1,25.4,CENSUSPOPEST,
AGE295203D,"Resident population under 18 years, percent (July 1 - estimate) 2003",PCT,1,25.2,CENSUSPOPEST,
AGE295204D,"Resident population under 18 years, percent (July 1 - estimate) 2004",PCT,1,25.1,CENSUSPOPEST,
AGE295205D,"Resident population under 18 years, percent (July 1 - estimate) 2005",PCT,1,24.9,CENSUSPOPEST,
AGE295206D,"Resident population under 18 years, percent (July 1 - estimate) 2006",PCT,1,24.8,CENSUSPOPEST,
AGE295207D,"Resident population under 18 years, percent (July 1 - estimate) 2007",PCT,1,24.7,CENSUSPOPEST,
AGE295208D,"Resident population under 18 years, percent (July 1 - estimate) 2008",PCT,1,24.5,CENSUSPOPEST,
AGE295209D,"Resident population under 18 years, percent (July 1 - estimate) 2009",PCT,1,24.3,CENSUSPOPEST,
AGE305210D,Resident population 18 to 44 years (April 1 - complete count) 2010,ABS,0,112806642,CENSUS-2010,
AGE310180D,Resident population 18 years and over (complete count) 1980,ABS,0,162790845,CENSUS-1980,
AGE310190D,Resident population 18 years and over (complete count) 1990,ABS,0,185105441,CENSUS-1990,
AGE310200D,Resident population 18 years and over (April 1 - complete count) 2000,ABS,0,209128094,CENSUS-2000,
AGE310210D,Resident population 18 years and over (April 1 - complete count) 2010,ABS,0,234564071,CENSUS-2010,
AGE320180D,Resident population 20 to 24 years (complete count) 1980,ABS,0,21318704,CENSUS-1980,
AGE320190D,Resident population 20 to 24 years (complete count) 1990,ABS,0,19020312,CENSUS-1990,
AGE320200D,Resident population 20 to 24 years (April 1 - complete count) 2000,ABS,0,18964001,CENSUSPOPEST,
AGE320210D,Resident population 20 to 24 years (April 1 - complete count) 2010,ABS,0,21585999,CENSUS-2010,
AGE330200D,Resident population 20 to 24 years (April 1 - estimates base) 2000,ABS,0,18962964,CENSUSPOPEST,
AGE340200D,Resident population 20 to 24 years (July 1 - estimate) 2000,ABS,0,19125668,CENSUSPOPEST,
AGE340201D,Resident population 20 to 24 years (July 1 - estimate) 2001,ABS,0,19801518,CENSUSPOPEST,
AGE340202D,Resident population 20 to 24 years (July 1 - estimate) 2002,ABS,0,20317200,CENSUSPOPEST,
AGE340203D,Resident population 20 to 24 years (July 1 - estimate) 2003,ABS,0,20685099,CENSUSPOPEST,
AGE340204D,Resident population 20 to 24 years (July 1 - estimate) 2004,ABS,0,20958686,CENSUSPOPEST,
AGE340205D,Resident population 20 to 24 years (July 1 - estimate) 2005,ABS,0,21081219,CENSUSPOPEST,
AGE340206D,Resident population 20 to 24 years (July 1 - estimate) 2006,ABS,0,21161162,CENSUSPOPEST,
AGE340207D,Resident population 20 to 24 years (July 1 - estimate) 2007,ABS,0,21217108,CENSUSPOPEST,
AGE340208D,Resident population 20 to 24 years (July 1 - estimate) 2008,ABS,0,21322253,CENSUSPOPEST,
AGE340209D,Resident population 20 to 24 years (July 1 - estimate) 2009,ABS,0,21539559,CENSUSPOPEST,
AGE350180D,Resident population 25 to 29 years (complete count) 1980,ABS,0,19520919,CENSUS-1980,
AGE350190D,Resident population 25 to 29 years (complete count) 1990,ABS,0,21313045,CENSUS-1990,
AGE350200D,Resident population 25 to 29 years (April 1 - complete count) 2000,ABS,0,19381336,CENSUSPOPEST,
AGE350210D,Resident population 25 to 29 years (April 1 - complete count) 2010,ABS,0,21101849,CENSUS-2010,
AGE360200D,Resident population 25 to 29 years (April 1 - estimates base) 2000,ABS,0,19381792,CENSUSPOPEST,
AGE370200D,Resident population 25 to 29 years (July 1 - estimate) 2000,ABS,0,19295446,CENSUSPOPEST,
AGE370201D,Resident population 25 to 29 years (July 1 - estimate) 2001,ABS,0,18898742,CENSUSPOPEST,
AGE370202D,Resident population 25 to 29 years (July 1 - estimate) 2002,ABS,0,18830424,CENSUSPOPEST,
AGE370203D,Resident population 25 to 29 years (July 1 - estimate) 2003,ABS,0,18971363,CENSUSPOPEST,
AGE370204D,Resident population 25 to 29 years (July 1 - estimate) 2004,ABS,0,19372040,CENSUSPOPEST,
AGE370205D,Resident population 25 to 29 years (July 1 - estimate) 2005,ABS,0,19866271,CENSUSPOPEST,
AGE370206D,Resident population 25 to 29 years (July 1 - estimate) 2006,ABS,0,20510892,CENSUSPOPEST,
AGE370207D,Resident population 25 to 29 years (July 1 - estimate) 2007,ABS,0,21018332,CENSUSPOPEST,
AGE370208D,Resident population 25 to 29 years (July 1 - estimate) 2008,ABS,0,21441834,CENSUSPOPEST,
AGE370209D,Resident population 25 to 29 years (July 1 - estimate) 2009,ABS,0,21677719,CENSUSPOPEST,
AGE380180D,Resident population 25 to 34 years (complete count) 1980,ABS,0,37081839,CENSUS-1980,
AGE380190D,Resident population 25 to 34 years (complete count) 1990,ABS,0,43175932,CENSUS-1990,
AGE380200D,Resident population 25 to 34 years (April 1 - complete count) 2000,ABS,0,39891724,CENSUS-2000,
AGE380210D,Resident population 25 to 34 years (April 1 - complete count) 2010,ABS,0,41063948,CENSUS-2010,
AGE410180D,Resident population 30 to 34 years (complete count) 1980,ABS,0,17560920,CENSUS-1980,
AGE410190D,Resident population 30 to 34 years (complete count) 1990,ABS,0,21862887,CENSUS-1990,
AGE410200D,Resident population 30 to 34 years (April 1 - complete count) 2000,ABS,0,20510388,CENSUSPOPEST,
AGE410210D,Resident population 30 to 34 years (April 1 - complete count) 2010,ABS,0,19962099,CENSUS-2010,
AGE420200D,Resident population 30 to 34 years (April 1 - estimates base) 2000,ABS,0,20511067,CENSUSPOPEST,
AGE430200D,Resident population 30 to 34 years (July 1 - estimate) 2000,ABS,0,20530072,CENSUSPOPEST,
AGE430201D,Resident population 30 to 34 years (July 1 - estimate) 2001,ABS,0,20685109,CENSUSPOPEST,
AGE430202D,Resident population 30 to 34 years (July 1 - estimate) 2002,ABS,0,20715909,CENSUSPOPEST,
AGE430203D,Resident population 30 to 34 years (July 1 - estimate) 2003,ABS,0,20551481,CENSUSPOPEST,
AGE430204D,Resident population 30 to 34 years (July 1 - estimate) 2004,ABS,0,20259538,CENSUSPOPEST,
AGE430205D,Resident population 30 to 34 years (July 1 - estimate) 2005,ABS,0,19846368,CENSUSPOPEST,
AGE430206D,Resident population 30 to 34 years (July 1 - estimate) 2006,ABS,0,19432972,CENSUSPOPEST,
AGE430207D,Resident population 30 to 34 years (July 1 - estimate) 2007,ABS,0,19352724,CENSUSPOPEST,
AGE430208D,Resident population 30 to 34 years (July 1 - estimate) 2008,ABS,0,19515671,CENSUSPOPEST,
AGE430209D,Resident population 30 to 34 years (July 1 - estimate) 2009,ABS,0,19888603,CENSUSPOPEST,
AGE440190D,Resident population 35 to 39 years (complete count) 1990,ABS,0,19963117,CENSUS-1990,
AGE440200D,Resident population 35 to 39 years (April 1 - complete count) 2000,ABS,0,22706664,CENSUSPOPEST,
AGE440210D,Resident population 35 to 39 years (April 1 - complete count) 2010,ABS,0,20179642,CENSUS-2010,
AGE450200D,Resident population 35 to 39 years (April 1 - estimates base) 2000,ABS,0,22707390,CENSUSPOPEST,
AGE460200D,Resident population 35 to 39 years (July 1 - estimate) 2000,ABS,0,22651319,CENSUSPOPEST,
AGE460201D,Resident population 35 to 39 years (July 1 - estimate) 2001,ABS,0,22244729,CENSUSPOPEST,
AGE460202D,Resident population 35 to 39 years (July 1 - estimate) 2002,ABS,0,21765912,CENSUSPOPEST,
AGE460203D,Resident population 35 to 39 years (July 1 - estimate) 2003,ABS,0,21283951,CENSUSPOPEST,
AGE460204D,Resident population 35 to 39 years (July 1 - estimate) 2004,ABS,0,20895746,CENSUSPOPEST,
AGE460205D,Resident population 35 to 39 years (July 1 - estimate) 2005,ABS,0,20818227,CENSUSPOPEST,
AGE460206D,Resident population 35 to 39 years (July 1 - estimate) 2006,ABS,0,20958950,CENSUSPOPEST,
AGE460207D,Resident population 35 to 39 years (July 1 - estimate) 2007,ABS,0,20992716,CENSUSPOPEST,
AGE460208D,Resident population 35 to 39 years (July 1 - estimate) 2008,ABS,0,20846774,CENSUSPOPEST,
AGE460209D,Resident population 35 to 39 years (July 1 - estimate) 2009,ABS,0,20538351,CENSUS-2000,
AGE470180D,Resident population 35 to 44 years (complete count) 1980,ABS,0,25634710,CENSUS-1980,
AGE470190D,Resident population 35 to 44 years (complete count) 1990,ABS,0,37578903,CENSUS-1990,
AGE470200D,Resident population 35 to 44 years (April 1 - complete count) 2000,ABS,0,45148527,CENSUS-2000,
AGE470210D,Resident population 35 to 44 years (April 1 - complete count) 2010,ABS,0,41070606,CENSUS-2010,
AGE510190D,Resident population 40 to 44 years (complete count) 1990,ABS,0,17615786,CENSUS-1990,
AGE510200D,Resident population 40 to 44 years (April 1 - complete count) 2000,ABS,0,22441863,CENSUSPOPEST,
AGE510210D,Resident population 40 to 44 years (April 1 - complete count) 2010,ABS,0,20890964,CENSUS-2010,
AGE520200D,Resident population 40 to 44 years (April 1 - estimates base) 2000,ABS,0,22442442,CENSUSPOPEST,
AGE530200D,Resident population 40 to 44 years (July 1 - estimate) 2000,ABS,0,22517786,CENSUSPOPEST,
AGE530201D,Resident population 40 to 44 years (July 1 - estimate) 2001,ABS,0,22820064,CENSUSPOPEST,
AGE530202D,Resident population 40 to 44 years (July 1 - estimate) 2002,ABS,0,22897818,CENSUSPOPEST,
AGE530203D,Resident population 40 to 44 years (July 1 - estimate) 2003,ABS,0,22903229,CENSUSPOPEST,
AGE530204D,Resident population 40 to 44 years (July 1 - estimate) 2004,ABS,0,22942889,CENSUSPOPEST,
AGE530205D,Resident population 40 to 44 years (July 1 - estimate) 2005,ABS,0,22726250,CENSUSPOPEST,
AGE530206D,Resident population 40 to 44 years (July 1 - estimate) 2006,ABS,0,22320321,CENSUSPOPEST,
AGE530207D,Resident population 40 to 44 years (July 1 - estimate) 2007,ABS,0,21858105,CENSUSPOPEST,
AGE530208D,Resident population 40 to 44 years (July 1 - estimate) 2008,ABS,0,21394190,CENSUSPOPEST,
AGE530209D,Resident population 40 to 44 years (July 1 - estimate) 2009,ABS,0,20991605,CENSUSPOPEST,
AGE540190D,Resident population 45 to 49 years (complete count) 1990,ABS,0,13872573,CENSUS-1990,
AGE540200D,Resident population 45 to 49 years (April 1 - complete count) 2000,ABS,0,20092404,CENSUSPOPEST,
AGE540210D,Resident population 45 to 49 years (April 1 - complete count) 2010,ABS,0,22708591,CENSUS-2010,
AGE550200D,Resident population 45 to 49 years (April 1 - estimates base) 2000,ABS,0,20092711,CENSUSPOPEST,
AGE560200D,Resident population 45 to 49 years (July 1 - estimate) 2000,ABS,0,20217688,CENSUSPOPEST,
AGE560201D,Resident population 45 to 49 years (July 1 - estimate) 2001,ABS,0,20694304,CENSUSPOPEST,
AGE560202D,Resident population 45 to 49 years (July 1 - estimate) 2002,ABS,0,21244838,CENSUSPOPEST,
AGE560203D,Resident population 45 to 49 years (July 1 - estimate) 2003,ABS,0,21713549,CENSUSPOPEST,
AGE560204D,Resident population 45 to 49 years (July 1 - estimate) 2004,ABS,0,22053437,CENSUSPOPEST,
AGE560205D,Resident population 45 to 49 years (July 1 - estimate) 2005,ABS,0,22402350,CENSUSPOPEST,
AGE560206D,Resident population 45 to 49 years (July 1 - estimate) 2006,ABS,0,22696450,CENSUSPOPEST,
AGE560207D,Resident population 45 to 49 years (July 1 - estimate) 2007,ABS,0,22786678,CENSUSPOPEST,
AGE560208D,Resident population 45 to 49 years (July 1 - estimate) 2008,ABS,0,22802020,CENSUSPOPEST,
